periods;precipitation;temperature;max_temperature;min_temperature;rel_humidity;wind_speed;wind_direction;pressure;weather_conditions;atmospheric_conditions;thunderstorm_alerts;thermal_sensation;max_sensation;min_sensation;frost_alert;etp;
2019-09-11 06:00;0;26.47312355041504;31.33761215209961;21.683216094970703;40.44746017456055;7.619999885559082;123;1013.7503662109375;1;1;0;26.47312355041504;31.33761215209961;21.68321418762207;0;8.888481140136719;
2019-09-12 06:00;0;26.962921142578125;31.974334716796875;22.644351959228516;44.72990036010742;7.599999904632568;121;1013.3594360351562;1;1;0;26.962921142578125;31.974334716796875;22.64435386657715;0;9.064497947692871;
2019-09-13 06:00;0;26.719070434570312;31.440673828125;23.19223403930664;44.679481506347656;7.139999866485596;115;1013.5872802734375;1;1;0;26.719070434570312;31.440675735473633;23.192232131958008;0;9.171950340270996;
2019-09-14 06:00;0;26.652420043945312;31.717411041259766;22.600666046142578;39.12777328491211;7.599999904632568;123;1013.21826171875;1;1;0;26.652420043945312;31.717411041259766;22.600666046142578;0;9.45436954498291;
2019-09-15 06:00;0;26.37333869934082;31.051555633544922;22.281944274902344;42.764949798583984;7.449999809265137;131;1012.4600219726562;1;1;0;26.37333869934082;31.051555633544922;22.281944274902344;0;8.168681144714355;
2019-09-16 06:00;0;25.864164352416992;29.329090118408203;23.31085968017578;48.781402587890625;7.510000228881836;135;1012.67578125;2;1;0;25.864164352416992;29.32908821105957;23.310861587524414;0;6.117677688598633;
2019-09-17 06:00;0;26.151142120361328;30.950641632080078;22.73121452331543;43.10993194580078;7.550000190734863;131;1012.0364990234375;1;1;0;26.151142120361328;30.950639724731445;22.73121452331543;0;8.135008811950684;
2019-09-18 06:00;0;26.164716720581055;31.109233856201172;22.417949676513672;44.70641326904297;6.550000190734863;126;1011.6309814453125;1;1;0;26.164714813232422;31.109233856201172;22.417951583862305;0;8.028963088989258;
2019-09-19 06:00;0;26.829973220825195;32.241878509521484;22.381359100341797;42.05341720581055;7.46999979019165;124;1011.9893798828125;1;1;0;26.829975128173828;32.24188232421875;22.381359100341797;0;9.33001708984375;
2019-09-20 06:00;0;26.43326759338379;31.629138946533203;22.606887817382812;41.882568359375;7.920000076293945;122;1012.3099365234375;1;1;0;26.43326759338379;31.629138946533203;22.606887817382812;0;9.008508682250977;
2019-09-21 06:00;0;26.677988052368164;31.476856231689453;22.118284225463867;42.91046142578125;7.059999942779541;114;1012.908935546875;1;1;0;26.677988052368164;31.476856231689453;22.118284225463867;0;8.836337089538574;
2019-09-22 06:00;0.9420779943466187;24.963424682617188;27.55805015563965;23.008827209472656;61.57757568359375;6.260000228881836;125;1013.521728515625;2;1;0;24.963424682617188;27.55805206298828;23.008831024169922;0;4.484556674957275;
2019-09-23 06:00;0.16469402611255646;25.600791931152344;30.280500411987305;22.580671310424805;48.137516021728516;7.800000190734863;122;1013.5572509765625;1;1;0;25.600791931152344;30.280500411987305;22.580669403076172;0;6.633715629577637;
2019-09-24 06:00;0;26.70193099975586;31.411054611206055;22.11963653564453;40.43799591064453;7.889999866485596;127;1012.3082275390625;0;1;0;26.701932907104492;31.411056518554688;22.11963653564453;0;8.835248947143555;
2019-09-25 06:00;0;25.94842529296875;30.63478660583496;22.440536499023438;44.73516082763672;7.400000095367432;134;1012.1633911132812;0;1;0;25.948427200317383;30.634788513183594;22.440534591674805;0;7.60070276260376;
2019-09-26 06:00;0;26.57624053955078;31.623308181762695;22.060222625732422;42.43440628051758;7.710000038146973;124;1012.732421875;1;1;0;26.57624053955078;31.623306274414062;22.060224533081055;0;8.817684173583984;
