periods;precipitation;temperature;max_temperature;min_temperature;rel_humidity;wind_speed;wind_direction;pressure;weather_conditions;atmospheric_conditions;thunderstorm_alerts;thermal_sensation;max_sensation;min_sensation;frost_alert;etp;
2019-09-11 06:00;0;28.087085723876953;32.944793701171875;21.964611053466797;25.196645736694336;6.349999904632568;113;1012.8242797851562;1;1;0;28.087081909179688;32.944793701171875;21.964611477322048;0;12.941852569580078;
2019-09-12 06:00;0.6843852996826172;28.22685432434082;32.68839645385742;23.140607833862305;30.335494995117188;6.090000152587891;115;1012.6959838867188;1;1;0;28.22685432434082;32.68839645385742;23.140606350368923;0;12.299276351928711;
2019-09-13 06:00;0.9096641540527344;28.33595085144043;33.90522766113281;23.505138397216797;27.62339210510254;5.730000019073486;107;1012.365234375;1;1;0;28.33595085144043;33.90522384643555;23.505138821072048;0;13.952569007873535;
2019-09-14 06:00;0.8880643844604492;26.65960121154785;31.315858840942383;23.6283016204834;33.58407211303711;5.340000152587891;126;1012.6026000976562;1;1;0;26.65960121154785;31.315858840942383;23.62830268012153;0;9.449772834777832;
2019-09-15 06:00;0;26.865707397460938;32.530723571777344;22.867874145507812;27.317569732666016;6.510000228881836;135;1011.723876953125;1;1;0;26.865707397460938;32.530723571777344;22.867872450086804;0;11.53039836883545;
2019-09-16 06:00;0;26.236766815185547;32.222938537597656;21.75591278076172;30.639423370361328;7.21999979019165;141;1012.124267578125;1;1;0;26.23676872253418;32.222938537597656;21.75591362847222;0;10.565164566040039;
2019-09-17 06:00;0;26.481233596801758;32.16240692138672;20.57537269592285;27.608234405517578;6.860000133514404;137;1011.4527587890625;1;1;0;26.481233596801758;32.16240692138672;20.55040780044838;0;11.209925651550293;
2019-09-18 06:00;0;27.35541343688965;32.09835433959961;22.27646255493164;30.800460815429688;5.699999809265137;124;1010.521728515625;1;1;0;27.35541534423828;32.09835433959961;22.276462978786892;0;11.078873634338379;
2019-09-19 06:00;0;26.455036163330078;31.502769470214844;23.3692626953125;33.762386322021484;5.5;114;1011.2257080078125;1;1;0;26.455036163330078;31.502771377563477;23.369259304470486;0;9.814949035644531;
2019-09-20 06:00;0;26.992918014526367;33.05713653564453;22.645410537719727;26.63341522216797;6.829999923706055;124;1010.960693359375;1;1;0;26.992918014526367;33.05713653564453;22.64540778266059;0;12.716598510742188;
2019-09-21 06:00;0;27.79564666748047;32.63050079345703;22.616342544555664;28.679140090942383;6.309999942779541;118;1011.8027954101562;1;1;0;27.79564666748047;32.63050079345703;22.61633978949653;0;12.325204849243164;
2019-09-22 06:00;0.136646568775177;27.015634536743164;32.564064025878906;23.773162841796875;29.875869750976562;6.179999828338623;108;1011.9327392578125;1;1;0;27.015634536743164;32.564064025878906;23.77315945095486;0;11.87674331665039;
2019-09-23 06:00;0;28.18500518798828;32.99662780761719;22.33246421813965;28.105161666870117;7.300000190734863;105;1011.793212890625;0;1;0;28.185007095336914;32.99662780761719;22.332462734646267;0;12.779980659484863;
2019-09-24 06:00;0;27.062999725341797;32.24433135986328;22.893009185791016;26.7537841796875;7.300000190734863;132;1011.573974609375;0;1;0;27.062999725341797;32.24433135986328;22.893007066514755;0;11.378399848937988;
2019-09-25 06:00;0;26.95834732055664;32.65196990966797;21.71993637084961;27.61394500732422;6.769999980926514;134;1011.1605224609375;0;1;0;26.958349227905273;32.65196990966797;21.71993679470486;0;11.769913673400879;
2019-09-26 06:00;0;27.392560958862305;33.13025665283203;21.912601470947266;24.9140682220459;6.150000095367432;130;1011.4625854492188;0;1;0;27.392559051513672;33.13025665283203;21.91260019938151;0;13.624082565307617;
2019-09-27 06:00;0;27.473955154418945;32.92851257324219;22.769737243652344;26.30167579650879;6.059999942779541;118;1012.2647705078125;1;1;0;27.473955154418945;32.92850875854492;22.769737243652344;0;11.955161094665527;
2019-09-28 06:00;0;28.371517181396484;33.7204704284668;22.835418701171875;23.890178680419922;6.730000019073486;119;1012.2831420898438;0;1;0;28.371517181396484;33.7204704284668;22.835417853461372;0;14.634472846984863;
2019-09-29 06:00;0.062440648674964905;27.887981414794922;33.39312744140625;24.060657501220703;26.057268142700195;7.210000038146973;107;1012.3646240234375;0;1;0;27.887983322143555;33.39312744140625;24.060656229654946;0;13.596863746643066;
2019-09-30 06:00;0.24621449410915375;28.521337509155273;33.27428436279297;22.942903518676758;26.384292602539062;7.269999980926514;103;1012.44384765625;1;1;0;28.521339416503906;33.27428436279297;22.94290330674913;0;13.92792797088623;
2019-10-01 06:00;0.42826223373413086;28.02783966064453;33.0408935546875;23.25535774230957;25.440914154052734;7.429999828338623;100;1013.4085693359375;1;1;0;28.0278377532959;33.040889739990234;23.25535668267144;0;12.894394874572754;
2019-10-02 06:00;0.21756792068481445;27.772001266479492;32.41696548461914;23.44659423828125;27.435976028442383;7.460000038146973;119;1013.1422119140625;1;1;0;27.772001266479492;32.416969299316406;23.446595933702255;0;11.662097930908203;
2019-10-03 06:00;0;27.565223693847656;32.48668670654297;22.432363510131836;28.712587356567383;7.0;116;1013.0360107421875;0;1;0;27.565223693847656;32.48668670654297;22.432361178927952;0;11.616537094116211;
2019-10-04 06:00;0.43347635865211487;27.78884506225586;32.32982635498047;22.394180297851562;29.899349212646484;7.21999979019165;107;1012.5537719726562;1;1;0;27.78884506225586;32.32982635498047;22.394180297851562;0;11.487598419189453;
2019-10-05 06:00;0;27.97313117980957;32.70023727416992;23.037948608398438;24.837430953979492;6.78000020980835;115;1012.0944213867188;0;1;0;27.973133087158203;32.70023727416992;23.037948608398438;0;12.227912902832031;
2019-10-06 06:00;0;26.97736167907715;32.82807159423828;22.50094223022461;24.31636619567871;6.920000076293945;115;1011.3004150390625;0;1;0;26.97736167907715;32.82807159423828;22.500940958658855;0;12.704620361328125;
2019-10-07 06:00;0;27.405603408813477;33.20859146118164;21.667495727539062;22.99330711364746;6.050000190734863;126;1010.896484375;0;1;0;27.405603408813477;33.208595275878906;21.667497422960068;0;13.79287338256836;
2019-10-08 06:00;0;27.311084747314453;31.156471252441406;22.703641891479492;30.779254913330078;5.610000133514404;88;1010.8756103515625;1;1;0;27.31108283996582;31.15647315979004;22.703641255696613;0;8.955022811889648;
2019-10-09 06:00;0.13146434724330902;26.07771873474121;29.59442901611328;23.8596134185791;37.72346115112305;5.010000228881836;88;1011.4613037109375;2;2;0;26.07771873474121;29.594430923461914;23.859613206651474;0;6.490017414093018;
2019-10-10 06:00;0.05055990442633629;27.754032135009766;31.55338478088379;24.04083824157715;32.14075469970703;5.369999885559082;76;1010.2453002929688;1;1;0;27.754030227661133;31.553388595581055;24.040836758083767;0;9.505340576171875;
