periods;precipitation;temperature;max_temperature;min_temperature;rel_humidity;wind_speed;wind_direction;pressure;weather_conditions;atmospheric_conditions;thunderstorm_alerts;thermal_sensation;max_sensation;min_sensation;frost_alert;etp;
2019-09-11 06:00;0.2847409248352051;21.598060607910156;28.387493133544922;16.767221450805664;50.79621887207031;4.550000190734863;195;1012.40380859375;2;1;0;21.598060925801597;29.057707529321316;16.767222086588543;0;5.477687835693359;
2019-09-12 06:00;10.122316360473633;15.654043197631836;18.684978485107422;13.806343078613281;88.16419982910156;3.309999942779541;165;1017.05615234375;4;1;0;15.282199465307094;18.68498060438368;13.188601953852254;0;2.1981256008148193;
2019-09-13 06:00;1.9135606288909912;16.310606002807617;19.82731819152832;13.664568901062012;77.73245239257812;3.799999952316284;84;1018.6118774414062;2;1;0;15.861505870380988;19.82731713189019;12.932531912687011;0;2.409383773803711;
2019-09-14 06:00;0.6546298861503601;18.723529815673828;22.061355590820312;15.140486717224121;77.57051086425781;4.050000190734863;60;1017.8258056640625;2;2;0;18.600047343434785;22.061352199978298;14.554590999762059;0;2.869474411010742;
2019-09-15 06:00;0.21845969557762146;21.410297393798828;27.852249145507812;17.18779182434082;51.61855697631836;4.230000019073486;38;1016.1090087890625;0;1;1;21.38066379692846;27.852249145507812;16.769491188158355;0;5.2779860496521;
2019-09-16 06:00;0;21.476924896240234;28.048973083496094;17.44034194946289;48.76421356201172;4.710000038146973;114;1016.2256469726562;1;1;0;21.4769262737698;28.048973083496094;16.96170849492102;0;5.519177436828613;
2019-09-17 06:00;0;21.393245697021484;27.95957374572754;16.598670959472656;44.784454345703125;3.369999885559082;127;1014.2053833007812;1;1;0;21.393245061238606;28.76710870635142;16.306809162197926;0;5.350759029388428;
2019-09-18 06:00;0;21.71778678894043;27.848093032836914;17.403230667114258;45.526336669921875;3.930000066757202;101;1009.5087280273438;0;1;0;21.652470090460284;27.848095364040798;17.184925213145267;0;5.236363410949707;
2019-09-19 06:00;0;20.381122589111328;26.21377182006836;16.817707061767578;49.1302375793457;4.460000038146973;202;1011.6993408203125;1;1;0;20.222290941081692;26.213768853081596;16.250996270485977;0;3.9884042739868164;
2019-09-20 06:00;1.4025256633758545;17.663293838500977;19.268449783325195;16.473461151123047;72.22637176513672;4.090000152587891;85;1012.8523559570312;2;1;0;17.440008827271644;19.268451266818577;16.088224475817984;0;2.341740369796753;
2019-09-21 06:00;0.881364643573761;20.12212371826172;26.965003967285156;16.122943878173828;48.654109954833984;3.740000009536743;153;1012.6209716796875;1;1;0;20.122124354044598;27.81999733414368;15.87079934525155;0;4.375187397003174;
2019-09-22 06:00;6.465044021606445;16.641435623168945;20.679885864257812;14.328362464904785;77.3355484008789;4.630000114440918;109;1016.4442138671875;3;1;0;16.070412024332494;20.67988501654731;13.261070175195155;0;2.3548800945281982;
2019-09-23 06:00;2.179966926574707;19.067058563232422;25.35267448425293;14.16313648223877;59.8974494934082;3.690000057220459;56;1015.6154174804688;1;2;1;18.88004755113376;25.352673000759548;13.229311724056753;0;3.838564395904541;
2019-09-24 06:00;4.028332710266113;20.35799789428711;25.0124454498291;15.625361442565918;64.16435241699219;3.0999999046325684;117;1014.6032104492188;1;1;1;20.357998741997612;25.01244439019097;15.625360276963976;0;3.4801015853881836;
2019-09-25 06:00;4.671868324279785;20.38449478149414;25.25926971435547;17.407072067260742;60.67060089111328;2.4000000953674316;155;1014.043701171875;3;2;1;20.384493933783638;25.25926801893446;17.407071855333115;0;3.8057029247283936;
2019-09-26 06:00;1.7604382038116455;19.759357452392578;24.798303604125977;16.7319278717041;64.84722137451172;4.800000190734863;115;1015.835205078125;1;1;1;19.567391882553864;24.798304239908852;16.15800032416959;0;3.4643421173095703;
2019-09-27 06:00;0.08419359475374222;19.40485382080078;24.368764877319336;16.20271110534668;60.511688232421875;4.849999904632568;62;1016.9793701171875;1;1;1;19.104370713388498;24.36876508924696;15.384815991114083;0;3.524174213409424;
2019-09-28 06:00;0.2336885780096054;20.4644832611084;27.06393814086914;15.413046836853027;50.26545333862305;4.53000020980835;37;1015.0540771484375;1;1;1;20.30172295580325;27.06393771701389;14.489901228498113;0;4.792873859405518;
2019-09-29 06:00;0;22.79773712158203;29.262359619140625;15.815913200378418;40.753318786621094;3.680000066757202;114;1013.4561767578125;1;1;0;22.79773500230577;29.26235622829861;15.250278518043261;0;5.977827072143555;
2019-09-30 06:00;0.7524628639221191;22.047330856323242;27.103315353393555;19.302515029907227;56.40917205810547;3.9700000286102295;112;1014.1688232421875;2;1;1;22.04732894897461;27.103313869900173;19.30251227484809;0;3.7836496829986572;
2019-10-01 06:00;0.30763354897499084;22.74237823486328;26.873319625854492;19.46722984313965;55.86098098754883;5.46999979019165;118;1013.1991577148438;1;1;1;22.74237950642904;26.873321533203125;19.46723090277778;0;4.08890962600708;
2019-10-02 06:00;1.58875572681427;22.224740982055664;27.913066864013672;18.324893951416016;42.18210983276367;5.320000171661377;183;1010.4400634765625;2;1;1;22.198699647796143;27.91306389702691;17.93565656760909;0;5.183287143707275;
2019-10-03 06:00;1.819593906402588;20.283679962158203;24.527620315551758;17.626728057861328;47.77570724487305;5.170000076293945;177;1011.71875;2;1;0;20.283678902520073;24.52762179904514;17.62672848171658;0;3.5474843978881836;
2019-10-04 06:00;1.5541667938232422;21.879167556762695;27.011241912841797;17.0095157623291;56.69408416748047;5.579999923706055;107;1011.1607666015625;1;1;1;21.877360921815107;27.011244032118054;16.928277336880928;0;4.279722690582275;
2019-10-05 06:00;0.8120284080505371;22.34079360961914;29.07663345336914;17.73002815246582;38.55246353149414;7.489999771118164;137;1009.1885986328125;1;1;0;22.34079360961914;29.07663133409288;17.730026245117188;0;6.172183990478516;
2019-10-06 06:00;47.453086853027344;16.54954719543457;19.312719345092773;14.685551643371582;78.29995727539062;3.490000009536743;160;1012.2594604492188;4;1;0;16.32545970015372;19.312718709309895;13.941489647699173;0;2.2645132541656494;
2019-10-07 06:00;6.8224687576293945;15.947154998779297;18.785289764404297;14.194324493408203;82.302490234375;4.309999942779541;115;1015.0811767578125;3;1;1;15.532578713237523;18.785290188259548;13.448250154475407;0;2.2884697914123535;
2019-10-08 06:00;10.334510803222656;14.360424995422363;17.00028419494629;12.104969024658203;84.12042999267578;4.03000020980835;125;1015.8474731445312;2;1;0;13.528250844444631;16.634681515239535;10.729778808849195;0;2.1105635166168213;
2019-10-09 06:00;1.5073201656341553;14.911504745483398;18.32706069946289;11.829727172851562;74.73505401611328;4.889999866485596;71;1014.2999267578125;2;1;0;13.913994563361232;18.194674017610193;10.15772248683604;0;2.248131036758423;
2019-10-10 06:00;25.38608741760254;16.885761260986328;19.16977310180664;13.18928050994873;92.78206634521484;3.9800000190734863;221;1010.1618041992188;4;2;0;16.667578529544965;19.169773525661892;11.927424761907915;0;2.3195858001708984;
