periods;precipitation;temperature;max_temperature;min_temperature;rel_humidity;wind_speed;wind_direction;pressure;weather_conditions;atmospheric_conditions;thunderstorm_alerts;thermal_sensation;max_sensation;min_sensation;frost_alert;etp;
2019-09-11 06:00;5.7077555656433105;22.311357498168945;23.22942543029785;21.461156845092773;86.9797134399414;3.0199999809265137;124;1017.2510986328125;3;1;0;22.311357498168945;23.229425218370224;21.461156845092773;0;3.1206531524658203;
2019-09-12 06:00;0.7830890417098999;23.045259475708008;26.113725662231445;20.209341049194336;69.84306335449219;2.549999952316284;105;1016.59716796875;1;1;0;23.045259475708008;37.484160808490365;20.20934295654297;0;4.227023601531982;
2019-09-13 06:00;0;24.215045928955078;27.92518424987793;20.01677131652832;59.609256744384766;4.230000019073486;113;1016.435791015625;0;1;0;24.215044021606445;30.99835373754932;20.016767501831055;0;5.101771831512451;
2019-09-14 06:00;2.677899122238159;22.44551658630371;24.521188735961914;20.78139877319336;72.03421020507812;3.640000104904175;139;1016.9821166992188;2;1;0;22.44551658630371;24.521187676323784;20.78139877319336;0;3.407742500305176;
2019-09-15 06:00;4.119472980499268;21.374881744384766;22.168582916259766;20.80170440673828;85.52452850341797;3.8399999141693115;141;1016.9537963867188;2;1;0;21.374881744384766;22.168583340115017;20.801706314086914;0;2.8222320079803467;
2019-09-16 06:00;1.152292251586914;22.51525115966797;25.408004760742188;20.849864959716797;66.83943176269531;5.210000038146973;132;1016.9813232421875;1;1;0;22.51525115966797;25.40800306532118;20.849864959716797;0;3.736820697784424;
2019-09-17 06:00;0.4640478193759918;22.940898895263672;26.1962890625;20.34047508239746;59.261016845703125;5.369999885559082;125;1016.072509765625;1;1;0;22.940898895263672;27.307440889503926;20.34047508239746;0;4.215554237365723;
2019-09-18 06:00;0.24811558425426483;23.107046127319336;26.681570053100586;20.01788902282715;59.89085388183594;5.119999885559082;121;1014.7850952148438;1;1;0;23.107046127319336;27.677782748500398;20.017887115478516;0;4.255507946014404;
2019-09-19 06:00;0.9837962985038757;23.55567169189453;27.115650177001953;19.646825790405273;60.797096252441406;5.139999866485596;125;1015.5516967773438;1;1;0;23.555673599243164;27.785974076394485;19.646827697753906;0;4.2557806968688965;
2019-09-20 06:00;3.1268184185028076;21.505050659179688;23.072742462158203;20.232208251953125;76.72538757324219;3.8499999046325684;136;1016.1911010742188;3;1;0;21.505048751831055;23.072742886013454;20.232206344604492;0;2.9496407508850098;
2019-09-21 06:00;0.6853123903274536;22.033292770385742;23.984106063842773;19.76760482788086;70.00086212158203;3.259999990463257;143;1016.57958984375;1;1;0;22.033292770385742;23.98410373263889;19.76760482788086;0;3.324354648590088;
2019-09-22 06:00;0.4677470922470093;23.631465911865234;27.007179260253906;19.525426864624023;63.3405876159668;4.949999809265137;111;1015.9500122070312;1;1;0;23.631467819213867;29.19031754564035;19.525426864624023;0;4.214035987854004;
2019-09-23 06:00;2.2706620693206787;22.321266174316406;23.414905548095703;21.13279914855957;79.39090728759766;3.4800000190734863;121;1016.8423461914062;1;1;0;22.321266174316406;23.41490427652995;21.132795333862305;0;3.1477551460266113;
2019-09-24 06:00;1.9108834266662598;22.75455093383789;25.093910217285156;21.054157257080078;69.4880142211914;4.909999847412109;125;1016.292236328125;1;1;0;22.754547119140625;25.093909369574654;21.05415916442871;0;3.5469510555267334;
2019-09-25 06:00;1.1651968955993652;22.43796157836914;25.678102493286133;19.925987243652344;59.89588165283203;4.690000057220459;117;1015.65869140625;1;1;0;22.43796157836914;25.6781005859375;19.925987243652344;0;4.003107070922852;
2019-09-26 06:00;0.25221705436706543;23.28220558166504;26.565773010253906;19.735342025756836;58.11662673950195;4.510000228881836;89;1015.7765502929688;0;1;0;23.28220558166504;26.565772162543404;19.735340118408203;0;4.407968521118164;
2019-09-27 06:00;0.2946006655693054;22.890300750732422;25.81475830078125;19.815265655517578;59.55197525024414;4.739999771118164;116;1016.7747802734375;0;1;0;22.890302658081055;25.814759996202255;19.81526756286621;0;3.936476469039917;
2019-09-28 06:00;0.9248088598251343;22.925039291381836;25.29566764831543;19.75423240661621;62.286590576171875;5.510000228881836;132;1017.7784423828125;1;1;0;22.925039291381836;25.29566446940104;19.75423240661621;0;3.7757346630096436;
2019-09-29 06:00;1.8488543033599854;22.748554229736328;24.881322860717773;20.72667694091797;67.42235565185547;4.760000228881836;135;1017.451416015625;1;1;0;22.748552322387695;24.88132052951389;20.726675033569336;0;3.540719985961914;
2019-09-30 06:00;8.682282447814941;21.53205108642578;22.214488983154297;21.100263595581055;86.72406005859375;3.1700000762939453;138;1017.7874145507812;4;1;0;21.532052993774414;22.214491102430554;21.100261688232422;0;2.8369507789611816;
2019-10-01 06:00;4.048862934112549;21.82724380493164;22.5192928314209;21.051212310791016;82.44761657714844;3.630000114440918;125;1019.007568359375;3;1;0;21.827245712280273;22.51929389105903;21.051212310791016;0;2.896690607070923;
2019-10-02 06:00;1.3781704902648926;22.085433959960938;23.315677642822266;20.379343032836914;73.81787109375;4.699999809265137;126;1018.674560546875;1;1;0;22.08543586730957;23.315675523546005;20.379343032836914;0;3.173516035079956;
