estacao,latitude,longitude
Alegria-MG,-19.92,-41.92
Adolfo-SP,-21.23,-49.64
Alexania-GO,-16.08,-48.5
Aguapei-MT,-16.2,-59.7
Adrianopolis-PR,-24.65,-48.99
Alcobaca-BA,-17.52,-39.19
AltoErvalNovo-RS,-27.51,-53.94
Alecrim-PR,-24.04,-50.39
Abadia-BA,-11.56,-37.52
Albuquerque-MS,-19.4,-57.41
Alhandra-PB,-7.44,-34.91
Acioli-ES,-19.65,-40.46
Alexandrita-MG,-19.69,-50.45
Alfenas-MG,-21.42,-45.94
AgudosdoSul-PR,-25.99,-49.33
Alegrete-RS,-29.78,-55.79
AdhemardeBarros-PR,-22.69,-52.73
Algodao-PB,-6.67,-36.15
Ajuricaba-RS,-28.24,-53.77
Alagoa-MG,-22.17,-44.64
Abreulandia-TO,-9.62,-49.15
Albardao-RS,-29.82,-52.59
Acarape-CE,-4.22,-38.71
Alambari-SP,-23.55,-47.89
AlagoaGrande-PB,-7.16,-35.62
AliancadoTocantins-TO,-11.3,-48.93
Albertina-MG,-22.2,-46.61
Aguai-SP,-22.06,-46.97
Agrovila-MT,-10.4,-54.92
AfonsoRodrigues-RS,-28.18,-54.99
Alcantil-PB,-7.74,-36.05
AguaBranca-AL,-9.26,-37.94
Alpinopolis-MG,-20.86,-46.39
AguaVermelha-SP,-21.89,-47.89
Airi-PE,-8.54,-38.19
AltoAlegredosParecis-RO,-12.13,-61.85
AltamiradoMaranhao-MA,-4.16,-45.47
Alagoinhas-BA,-12.13,-38.42
Acari-RN,-6.43,-36.64
AfranioPeixoto-BA,-12.29,-41.42
Alcantaras-CE,-2.4,-40.54
AlagoinhadoPiaui-PI,-7.0,-40.94
Almenara-MG,-16.18,-40.69
Agrolandia-SC,-27.41,-49.82
Alianca-PE,-7.6,-35.23
Aguanil-MG,-20.94,-45.39
AlbuquerqueNe-PE,-8.0,-37.42
AltoAlegre-SP,-21.58,-50.16
AltoAlegredoIguacu-PR,-25.48,-53.48
Afranio-PE,-8.51,-41.0
AbreueLima-PE,-7.91,-34.9
AltaFloresta-MT,-9.87,-56.08
AgulhasNegras-RJ,-22.45,-44.43
Agricolandia-PI,-5.79,-42.67
AlterdoChao-PA,-2.5,-54.95
Acurui-MG,-20.21,-43.72
Alterosa-MG,-21.24,-46.14
AlfredoMarcondes-SP,-21.95,-51.41
AltoCaparao-MG,-20.43,-41.84
Aimores-MG,-19.49,-41.06
AltoJequitiba-MG,-20.42,-41.96
Airituba-ES,-20.94,-41.69
Alegria-RS,-27.83,-54.06
Adrianopolis-CE,-3.25,-41.24
Acajutiba-BA,-11.66,-38.02
AltoAraguaia-MT,-17.31,-53.21
AbelardoLuz-SC,-26.56,-52.32
Alexandra-PR,-25.55,-48.62
Abaete-MG,-19.16,-45.44
